텍스트,유형,베이스재료,주재료,조리법,포맷화
맛있게 잘 먹었습니다! 다음에 또 올게요.,positive,,,,F
리뷰 이벤트 없이 리뷰를 쓰고 싶게 만든 음식은 처음이에요. 더 많은 사람들이 이 식당을 알아야 해요!,positive,,,,F
저 오막하세의 단골이 될래요! 너무 맛있어요!,positive,,,,F
살면서 먹어본 $$ 요리 중에서 제일 맛있어요!,positive,,$$,,T
살면서 먹어본 %% 요리 중에서 제일 맛있어요!,positive,,%%,,T
$$의 신선한 맛이 느껴져서 좋았어요.,positive,,$$,,T
%%의 신선한 맛이 느껴져서 좋았어요.,positive,,%%,,T
이걸 주문한 건 아니었던 것 같은데... 그래도 맛은 있네요.,neutral,,,,F
젊은 요리사의 패기가 느껴지는 맛이었어요.,neutral,,,,F
괜찮아요` 점점 실력이 붙을 거예요.,neutral,,,,F
$$ 요리였더라면 더 좋았을 것 같지만` 이것도 나름 괜찮네요.,neutral,,$$,,T
%% 요리였더라면 더 좋았을 것 같지만` 이것도 나름 괜찮네요.,neutral,,%%,,T
요리 연습 좀 더 하고 오셔야겠어요.,negative,,,,F
대체 무슨 자신감으로 오마카세 식당을 차린 거예요?,negative,,,,F
얼마 못 가서 망할 것 같은... 아` 아무것도 아니에요!,negative,,,,F
손님 말이 말 같지 않나요?,negative,,,,F
요리를 정말 막 하시네요...,negative,,,,F
제 주문을 졸면서 받으셨나요?,negative,,,,F
상한 $$를 사용한 것 같은 맛이에요...,negative,,$$,,T
상한 %%을 사용한 것 같은 맛이에요...,negative,,%%,,T
